Own BIC,Correspondent,R. Status,R. Restr.,S. Status,S. Restr.,Correspondent Name
MHCBINBB,BOJSCNBN,Enabled," "," "," ",BANK OF JIANGSU CO LTD
MHCBINBB,BOMLAEAD,Enabled," ",Enabled," ",MASHREQBANK PSC.
MHCBINBB,BOSHCNSH,Enabled," ",Enabled," ",BANK OF SHANGHAI
MHCBINBB,BOSUARBA,Enabled," ",Enabled," ",BANCO MACRO S.A.
MHCBINBB,BOTKAU2X,Enabled," ",Enabled," ","MUFG BANK, LTD."
MHCBINBB,BOTKBEBX,Enabled," ",Enabled," ","MUFG BANK (EUROPE) N.V. BRUSSELS BRANCH (FORMERLY THE BANK OF TOKYO-MITSUBISHI UFJ, LTD.)"
MHCBINBB,BOTKBRSX,Rejected/Pending Reject Confirmation," ",Revoked/Pending Revoke Confirmation," ",BANCO MUFG BRASIL S.A.
MHCBINBB,BOTKCATX,Enabled," "," "," ","MUFG BANK, LTD., CANADA BRANCH"
MHCBINBB,BOTKCLRM,Enabled," ",Enabled," ",
MHCBINBB,BOTKCNBD,Enabled," ",Enabled," ","MUFG BANK (CHINA),LTD. DALIAN BRANCH"
MHCBINBB,BOTKCNBJ,Enabled," ",Enabled," ","MUFG BANK (CHINA), LTD. BEIJING BRANCH"
MHCBINBB,BOTKCNBS,Enabled," ",Enabled," ","MUFG BANK (CHINA), LTD."
MHCBINBB,BOTKCNBT,Enabled," ",Enabled," ","MUFG BANK (CHINA), LTD. TIANJIN BRANCH"
MHCBINBB,BOTKCNSH,Enabled," ",Enabled," ","MUFG BANK (CHINA), LTD."
MHCBINBB,BOTKCZPP,Rejected," ",Revoked," ",MUFG BANK (EUROPE) N.V. PRAGUE BRANCH (FORMERLY BANK OF TOKYO-MITSUBISHI UFJ (HOLLAND) N.V.)
MHCBINBB,BOTKDEDX,Enabled," ",Enabled," ","MUFG BANK (EUROPE) N.V. GERMANY BRANCH (FORMERLY THE BANK OF TOKYO-MITSUBISHI UFJ, LTD.)"
MHCBINBB,BOTKGB2L,Enabled," ",Enabled," ","MUFG BANK, LTD."
MHCBINBB,BOTKHKHH,Enabled," ",Enabled," ","MUFG BANK, LTD."
MHCBINBB,BOTKINBB,Enabled," ",Enabled," ","MUFG BANK, LTD."
MHCBINBB,BOTKINDD,Enabled," ",Enabled," ","MUFG BANK, LTD."
MHCBINBB,BOTKJPJT,Enabled," ",Enabled," ","MUFG BANK, LTD."
MHCBINBB,BOTKKRSX,Enabled," ",Enabled," ","MUFG BANK, LTD., SEOUL BRANCH"
MHCBINBB,BOTKMXMX,Enabled," "," "," ",MUFG BANK MEXICO S.A. INSTITUCION DE BANCA MULTIPLE FILIAL
MHCBINBB,BOTKMYKX,Enabled," ",Enabled," ",MUFG BANK (MALAYSIA) BERHAD
MHCBINBB,BOTKNL2X,Rejected," ",Revoked," ",MUFG BANK (EUROPE) N.V. AMSTERDAM (FORMERLY BANK OF TOKYO-MITSUBISHI UFJ (HOLLAND) N.V.)
MHCBINBB,BOTKPLPW,Revoked," ",Deleted," ",MUFG BANK (EUROPE) N.V. S.A. ODDZIAL W POLSCE (FORMERLY BANK OF TOKYO-MITSUBISHI UFJ (POLSKA) S.A.)
MHCBINBB,BOTKSGSX,Enabled," ",Enabled," ","MUFG BANK, LTD."
MHCBINBB,BOTKTHBX,Enabled," ",Enabled," ","BANK OF AYUDHYA PUBLIC COMPANY LIMITED, BANGKOK OFFICE"
MHCBINBB,BOTKTWTX,Enabled," ",Enabled," ","MUFG BANK, LTD., TAIPEI BRANCH"
MHCBINBB,BOTKUS33,Rejected," ",Revoked," ",MUFG BANK LTD.
MHCBINBB,BOTKUS3N,Enabled," "," "," ",
MHCBINBB,BOTKUS6L,Rejected," ",Revoked," ",MUFG BANK LTD.
MHCBINBB,BPAAIT2B,Revoked," ",Deleted," ",BANCA POPOLARE DELL'ALTO ADIGE/SUEDTIROLER VOLKSBANK
MHCBINBB,BPMOIT22,Enabled," ",Enabled," ",BPER BANCA S.P.A.
MHCBINBB,BPPNIT2P,Enabled," ",Enabled," ",CREDIT AGRICOLE FRIULADRIA SPA
MHCBINBB,BRASBRRJ," "," ",Revoked," ",BANCO DO BRASIL S.A.
MHCBINBB,BRCBCNBJ,Enabled," ",Enabled," ",BEIJING RURAL COMMERCIAL BANK
MHCBINBB,BROUUS33,Enabled," "," "," ",BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY
MHCBINBB,BRUSDE66,Revoked," ",Deleted," ",SPARKASSE KRAICHGAU BRUCHSAL-BRETTEN-SINSHEIM
MHCBINBB,BSABESBB,Enabled," ",Enabled," ","BANCO DE SABADELL, S.A."
MHCBINBB,BSAMLKLX,Enabled," ",Enabled," ",SAMPATH BANK PLC
MHCBINBB,BSCHCLRM,Rejected," ",Revoked," ",BANCO SANTANDER CHILE
MHCBINBB,BSCHESMM,Rejected," ",Revoked," ",BANCO SANTANDER S.A.
MHCBINBB,BSCHUS33,Rejected," ",Revoked," ",BANCO SANTANDER S.A. NEW YORK
MHCBINBB,BSCHUYMM,Enabled," "," "," ",BANCO SANTANDER
MHCBINBB,BSFRSARI,Enabled," "," "," ",BANQUE SAUDI FRANSI
MHCBINBB,BSONBDDH,Enabled," ",Enabled," ",SONALI BANK LIMITED
MHCBINBB,BSONGB2L,Revoked," "," "," ",SONALI BANK (UK) LTD
MHCBINBB,BSUDPEPL,Rejected/Pending Reject Confirmation," ",Revoked/Pending Revoke Confirmation," ",SCOTIABANK PERU S.A.A.
MHCBINBB,BSUIESMM," "," ",Revoked," ",CREDIT AGRICOLE CIB
MHCBINBB,BSUIJPJT,Enabled," ",Enabled," ",CREDIT AGRICOLE CIB TOKYO BRANCH
MHCBINBB,BSUIYESA,Rejected," ",Revoked," ",
MHCBINBB,BTFHTRIS,Enabled," ",Enabled," ",ALBARAKA TURK PARTICIPATION BANK
MHCBINBB,BUCUROBU,Revoked," ",Deleted," ",ALPHA BANK ROMANIA SA
MHCBINBB,BUMIIDJA,Enabled," ",Enabled," ",PT.BANK MNC INTERNASIONAL TBK.
MHCBINBB,BYBACY2I,Enabled," ",Enabled," ",BYBLOS BANK S.A.L. (IBU)
MHCBINBB,CAHMESMM,Rejected," ",Revoked," ",BANKIA S.A.
MHCBINBB,CAIXESBB,Rejected," ",Revoked," ","CAIXABANK, S.A."
MHCBINBB,CAIXPLPW,Revoked," ",Deleted," ","CAIXABANK, S.A. (SPOLKA AKCYJNA) ODDZIAL W POLSCE"
MHCBINBB,CAIXROBX,Revoked," ",Deleted," ",
MHCBINBB,CARPRO22,Rejected," ",Revoked," ",PATRIA BANK S.A.
MHCBINBB,CBAFKENX,Enabled," ",Enabled," ",COMMERCIAL BANK OF AFRICA LTD.
MHCBINBB,CBEGEGCX,Enabled," ",Enabled," ",CENTRAL BANK OF EGYPT CAIRO
MHCBINBB,CBETETAA,Enabled," ",Enabled," ",COMMERCIAL BANK OF ETHIOPIA
MHCBINBB,CBLJLYLX,Revoked," "," "," ",CENTRAL BANK OF LIBYA
MHCBINBB,CBOCCNBC,Enabled," "," "," ","BANK OF CHENGDU CO.,LTD"
MHCBINBB,CCBCTWTP,Enabled," ",Enabled," ",CHANG HWA COMMERCIAL BANK LTD.
MHCBINBB,CCBPFRPP,Rejected," "," "," ",BANQUES POPULAIRES-GROUPE BPCE
MHCBINBB,CCBQHKAX,Rejected," ",Revoked," ",CHINA CONSTRUCTION BANK (ASIA) CORPORATION LIMITED
MHCBINBB,CCBQMOMX,Rejected," ",Revoked," ",CHINA CONSTRUCTION BANK CORPORATION MACAU BRANCH
MHCBINBB,CCEYBDDH,Enabled," ",Enabled," ",COMMERCIAL BANK OF CEYLON PLC
MHCBINBB,CCEYLKLX,Enabled," ",Enabled," ",COMMERCIAL BANK OF CEYLON PLC
MHCBINBB,CCFRFRPP,Rejected," ",Revoked," ",HSBC FRANCE (FORMERLY HSBC CCF)
MHCBINBB,CDMAMAMC,Rejected," "," "," ",CREDIT DU MAROC
MHCBINBB,CECAESMM,Revoked," ",Deleted," ","CECABANK, S.A."
MHCBINBB,CECAGB2X,Revoked," ",Deleted," ",CONFEDERACION ESPANOLA DE CAJAS DE AHORROS
MHCBINBB,CEKOCZPP,Rejected," ",Rejected," ","CESKOSLOVENSKA OBCHODNI BANKA, A.S."
MHCBINBB,CEKOSKBX,Rejected," ",Rejected," ","CESKOSLOVENSKA OBCHODNA BANKA, A.S."
MHCBINBB,CENAIDJA,Rejected/Pending Reject Confirmation," ",Revoked/Pending Revoke Confirmation," ",BANK CENTRAL ASIA
MHCBINBB,CEPAPFTP,Rejected," ",Revoked," ",BANQUE DE TAHITI S.A.
MHCBINBB,CFCBVNVX," "," ",Deleted," ",
MHCBINBB,CHASGB2L," "," ",Revoked,*,"JPMORGAN CHASE BANK, N.A."
MHCBINBB,CHASJPJT," "," ",Revoked," ","JPMORGAN CHASE BANK, N.A., TOKYO BRANCH"
MHCBINBB,CHASSGSG,Rejected," ",Revoked," ","JPMORGAN CHASE BANK, N.A."
MHCBINBB,CHASUS33,Enabled," ",Enabled," ","JPMORGAN CHASE BANK, N.A."
MHCBINBB,CHBHCNBT,Enabled," ",Enabled," ","CHINA BOHAI BANK CO., LTD"
MHCBINBB,CHGKJPJZ,Enabled," ",Enabled," ","CHUGOKU BANK, LTD., THE"
MHCBINBB,CIBBMYKL,Enabled," ",Enabled," ",CIMB BANK BERHAD
MHCBINBB,CIBCCATT,Rejected," ",Revoked," ",CANADIAN IMPERIAL BANK OF COMMERCE
MHCBINBB,CIBKCNBJ," "," ",Enabled," ",CHINA CITIC BANK
MHCBINBB,CITIAEAD,Enabled," ",Enabled," ",CITIBANK N.A.
MHCBINBB,CITIAU2X,Rejected/Pending Reject Confirmation," "," "," ","CITIGROUP PTY LIMITED, SYDNEY"
MHCBINBB,CITIBDDX,Enabled," ",Enabled," ",CITIBANK N.A.
MHCBINBB,CITICNSX,Enabled," ",Enabled," ","CITIBANK (CHINA) CO., LTD."
MHCBINBB,CITIDZAL,Rejected," ",Revoked," ",CITIBANK N.A. ALGERIA
MHCBINBB,CITIGB2L,Enabled," ",Enabled," ",CITIBANK N.A.
MHCBINBB,CITIHKAX,Rejected," ",Revoked," ",CITIBANK (HONG KONG) LIMITED
MHCBINBB,CITIHKHX,Enabled," ",Enabled," ",CITIBANK N.A.
MHCBINBB,CITIIE2X,Enabled," ",Enabled," ",CITIBANK EUROPE PLC
MHCBINBB,CITIINBX,Enabled," ",Enabled," ",CITIBANK N.A.
MHCBINBB,CITIJPJT,Enabled," ",Enabled," ","CITIBANK N.A., TOKYO BRANCH"
MHCBINBB,CITIMYKL,Enabled," ",Enabled," ",CITIBANK BERHAD
MHCBINBB,CITINZ2X,Enabled," ",Enabled," ",CITIBANK NA NEW ZEALAND BRANCH
MHCBINBB,CITISGSG,Enabled," ",Enabled," ","CITIBANK,N.A."
MHCBINBB,CITITHBX,Rejected," ",Enabled," ",CITIBANK N.A.
MHCBINBB,CITITWTX,Enabled," ",Enabled," ",CITIBANK TAIWAN LIMITED
MHCBINBB,CITIUS33,Enabled," ",Enabled," ",CITIBANK N.A.
MHCBINBB,CMBCCNBS,Enabled," ",Enabled," ",CHINA MERCHANTS BANK
MHCBINBB,CMCIFR2A," "," ",Revoked," ",CREDIT MUTUEL
MHCBINBB,CMCIFRPA," "," ",Revoked," ",CREDIT MUTUEL - CIC BANQUES
MHCBINBB,CMCIFRPP," "," ",Deleted," ",CM - CIC BANQUES
MHCBINBB,CNRBGB2L,Enabled," ",Enabled," ",CANARA BANK
MHCBINBB,COBADEFF,Rejected," ",Revoked," ",COMMERZBANK AG
MHCBINBB,COBADEHH,Rejected," "," "," ",COMMERZBANK AG
MHCBINBB,COBAFRPX,Rejected," ",Revoked," ",COMMERZBANK AG
MHCBINBB,COLSDE33," "," ",Revoked," ",SPARKASSE KOELNBONN (FORMER STADTSPARKASSE KOELN)
MHCBINBB,COMMCNSH,Enabled," ",Enabled," ",BANK OF COMMUNICATIONS
MHCBINBB,CREDCLRM,Rejected/Pending Reject Confirmation," ",Revoked/Pending Revoke Confirmation," ",BANCO DE CREDITO E INVERSIONES
MHCBINBB,CRESCHZZ,Rejected," ",Revoked," ",CREDIT SUISSE (SCHWEIZ) AG
MHCBINBB,CRESDE55," "," ",Revoked," ",CREDIT SUISSE (DEUTSCHLAND) AG
MHCBINBB,CRFIIT2C,Revoked," ",Deleted," ",
MHCBINBB,CRFIIT2S,Revoked," ",Rejected," ",CREDIT AGRICOLE CARISPEZIA SPA
MHCBINBB,CRFIIT3F,Enabled," ",Enabled," ",
MHCBINBB,CRFIIT3P,Revoked," "," "," ",
MHCBINBB,CRFIITRR,Revoked," ",Rejected," ",
MHCBINBB,CRLYFRPP,Enabled," ",Enabled," ",LCL (LE CREDIT LYONNAIS)
MHCBINBB,CRPPIT2P,Enabled," ",Enabled," ",CREDIT AGRICOLE ITALIA S.P.A.
MHCBINBB,CRSMIT3S,Rejected," ",Revoked," ",
MHCBINBB,CRTUGE22," "," ",Rejected," ",JSC 'CARTU BANK'
MHCBINBB,CTCBTWTP,Rejected," ",Revoked," ","CTBC BANK CO., LTD"
MHCBINBB,CTCBVNVX,Rejected," ",Revoked," ","CTBC BANK CO., LTD HOCHI MINH CITY BRANCH"
MHCBINBB,CXBIPTPL,Revoked," ",Deleted," ","CAIXA BANCO DE INVESTIMENTO, S.A."
MHCBINBB,CXBKCN2N,Enabled," ",Enabled," ","NINGBO CIXI RURAL COMMERCIAL BANK CO., LTD. (FORMERLY NINGBO CIXI RURAL COOPERATIVE BANK)"
MHCBINBB,CZNBINDD,Enabled," ",Enabled," ",KOOKMIN BANK
MHCBINBB,CZNBKRSE,Enabled," ",Enabled," ",KOOKMIN BANK
MHCBINBB,DABADKKK,Rejected," ",Revoked," ",DANSKE BANK A/S
MHCBINBB,DABAFIHH,Rejected," ",Revoked," ","DANSKE BANK A/S, FINLAND BRANCH"
MHCBINBB,DASHETAA,Revoked," "," "," ",DASHEN BANK S.C.
MHCBINBB,DBSSAEAD,Enabled," ",Enabled,*,DBS BANK LTD
MHCBINBB,DBSSCNSH,Enabled," ",Enabled," ",DBS BANK (CHINA) LIMITED
MHCBINBB,DBSSSGSG,Enabled," ",Enabled," ",DBS BANK LTD.
MHCBINBB,DBSSTWTP,Enabled," ",Enabled," ",DBS BANK (TAIWAN) LTD
MHCBINBB,DENITRIS,Enabled," ",Enabled," ",DENIZBANK A.S.
MHCBINBB,DEUTDE2H,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDE3B,Enabled," ",Enabled," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDE5M,Enabled," ",Enabled," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDE6F,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDE8C,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDE8E,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDE8L,Enabled," ",Enabled," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDEBB,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDEBR,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDEDB,Rejected," ",Revoked," ",DB PRIVAT-UND FIRMENKUNDENBANK AG (FORMERLY DEUTSCHE BANK PGK AG)
MHCBINBB,DEUTDEDD,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDEDE,Rejected," ",Revoked,*,DEUTSCHE BANK AG
MHCBINBB,DEUTDEDK,Enabled," ",Enabled," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDEDW,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDEFF,Enabled," ",Enabled," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDEHB,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDEHH,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDEMM,Enabled," ",Enabled," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDESM,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTDESS,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTHKHH,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTJPJT," "," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTNL2A,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DEUTNZ2A,Rejected," "," "," ",
MHCBINBB,DEUTSGSG,Rejected," ",Revoked," ",DEUTSCHE BANK AG
MHCBINBB,DFCCLKLX,Enabled," "," "," ",DFCC BANK PLC
MHCBINBB,DGCBCN22,Enabled," ",Enabled," ","BANK OF DONGGUAN CO.,LTD"
MHCBINBB,DIWAJPJT,Enabled," ",Enabled," ","RESONA BANK, LTD., TOKYO"
MHCBINBB,DNBANOKK,Rejected," ",Revoked," ",DNB BANK ASA
MHCBINBB,DOHBQAQA,Rejected," ",Revoked," ",DOHA BANK
MHCBINBB,DRESDEFF,Rejected," ",Revoked," ",COMMERZBANK AG (FORMERLY DRESDNER BANK AG)
MHCBINBB,DRESSGSG," "," ",Deleted," ",
MHCBINBB,EBBKEGCX,Rejected," ",Revoked," ",HSBC BANK EGYPT S.A.E
MHCBINBB,EBILAEAD,Enabled," ",Enabled," ",EMIRATES NBD BANK PJSC
MHCBINBB,EFGBGRAA,Enabled," ",Enabled," ",
MHCBINBB,EIBCCNBJ,Enabled," ",Enabled," ","EXPORT-IMPORT BANK OF CHINA, THE"
MHCBINBB,EOBBMYKL,Enabled," ",Revoked," ",
MHCBINBB,ESSEDE5F,Rejected," ",Revoked," ",DSK HYP AG
MHCBINBB,ESSEDEFF,Enabled," ",Enabled," ",SEB AB (PUBL.) FRANKFURT BRANCH
MHCBINBB,ESSEHKHH,Enabled," ",Enabled," ",SKANDINAVISKA ENSKILDA BANKEN AB
MHCBINBB,ESSESESS,Enabled," ",Enabled," ",SKANDINAVISKA ENSKILDA BANKEN AB
MHCBINBB,ESSESGSG,Enabled," ",Enabled," ",SKANDINAVISKA ENSKILDA BANKEN AB (PUBL)
MHCBINBB,ETHNGB2L,Enabled," ",Enabled," ",NATIONAL BANK OF GREECE S.A.
MHCBINBB,ETHNGRAA,Enabled," ",Enabled," ",NATIONAL BANK OF GREECE S.A.
MHCBINBB,EXBSUAUX,Enabled," ",Enabled," ",JSC THE STATE EXPORT-IMPORT BANK OF UKRAINE
MHCBINBB,FCBKTWTP,Enabled," ",Enabled," ",FIRST COMMERCIAL BANK
MHCBINBB,FCBKUS66,Enabled," ",Enabled," ",FIRST COMMERCIAL BANK
MHCBINBB,FIMBMTM3,Enabled," ",Enabled,*,FIMBANK PLC
MHCBINBB,FINKLBBE,Revoked," "," "," ",FIRST NATIONAL BANK S.A.L.
MHCBINBB,FIRNTZTX,Enabled," ",Enabled," ",FIRST NATIONAL BANK OF TANZANIA
MHCBINBB,FIRNZAJJ,Enabled," ",Enabled/Pending Accept," ",FIRSTRAND BANK LIMITED
MHCBINBB,FKUIJPJT,Enabled," ",Enabled," ","FUKUI BANK, LTD., THE"
MHCBINBB,FTSBNL2R," "," ",Revoked," ",
MHCBINBB,GEBAAU2S,Enabled," ",Enabled," ",
MHCBINBB,GEBABEBB,Enabled," ",Enabled," ",BNP PARIBAS FORTIS (FORTIS BANK SA/NV)
MHCBINBB,GEBACN22,Enabled," ",Enabled," ",
MHCBINBB,GEBAHKHH,Enabled," ",Enabled," ",
MHCBINBB,GEBAJPJT,Revoked," ",Deleted," ",
MHCBINBB,GEBASGSG,Enabled," ",Enabled," ",
MHCBINBB,GEBATWTP,Enabled," ",Enabled," ",
MHCBINBB,GHCBGHAC,Revoked," "," "," ",GCB BANK LIMITED
MHCBINBB,GIBACZPX,Enabled," ",Enabled," ",CESKA SPORITELNA A.S.
MHCBINBB,GTBINGLA,Revoked," "," "," ",GUARANTY TRUST BANK PLC
MHCBINBB,GUMAJPJT,Enabled," "," "," ","GUNMA BANK, LTD., THE"
MHCBINBB,HAABAT22,Revoked," ",Deleted," ",HETA ASSET RESOLUTION AG
MHCBINBB,HAABAT2K,Revoked," ",Deleted," ",AUSTRIAN ANADI BANK A.G.
MHCBINBB,HABKJPJT,Enabled," ",Enabled," ","HACHIJUNI BANK, LTD., THE"
MHCBINBB,HAGAIDJA,Revoked," ",Deleted," ",
MHCBINBB,HAMAJPJT,Enabled," ",Enabled," ","BANK OF YOKOHAMA, LTD., THE"
MHCBINBB,HANYUS33," "," ",Enabled," ",HABIB AMERICAN BANK
MHCBINBB,HBLILKLX,Enabled," ",Enabled," ",HATTON NATIONAL BANK PLC
MHCBINBB,HBMBMYKL,Rejected," ",Revoked,*,HSBC BANK MALAYSIA BERHAD
MHCBINBB,HBPEPEPL,Revoked," ",Deleted," ",BANCO GNB PERU SA
MHCBINBB,HBUKGB4B,Enabled," ",Enabled,*,HSBC UK BANK PLC
MHCBINBB,HBZUAEAD,Enabled," ",Enabled," ",HABIB BANK AG ZURICH
MHCBINBB,HBZUCHZZ,Enabled," ",Enabled," ",HABIB BANK AG ZURICH
MHCBINBB,HCCBCNBH,Revoked," ",Deleted," ","HARBIN BANK CO.,LTD"
MHCBINBB,HDFCINBB,Enabled," "," "," ",HDFC BANK LIMITED
MHCBINBB,HEBACY2N,Enabled," ",Enabled," ",HELLENIC BANK PUBLIC COMPANY LTD.
MHCBINBB,HEISDE66,Revoked," ",Deleted," ",KREISSPARKASSE HEILBRONN
MHCBINBB,HFCBCNSH,Enabled," ",Enabled," ",HUISHANG BANK CORPORATION LTD
MHCBINBB,HIGOJPJT,Enabled," ",Enabled," ",THE HIGO BANK LIMITED
MHCBINBB,HNBKTWTP,Enabled," ",Enabled," ","HUA NAN COMMERCIAL BANK, LTD."
MHCBINBB,HNBNKRSE,Enabled," ",Enabled," ",
MHCBINBB,HSBCBDDH,Enabled," "," "," ",THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
MHCBINBB,HSBCCNSH,Rejected," "," "," ",HSBC BANK (CHINA) COMPANY LIMITED
MHCBINBB,HSBCHKHH,Enabled," ",Enabled,*,"HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, THE"
MHCBINBB,HSBCINBB,Enabled," "," "," ",THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
MHCBINBB,HSBCJPJT,Rejected," ",Revoked," ","HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,THE"
MHCBINBB,HSBCKRSE,Rejected," ",Revoked," ","THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, SEOUL BRANCH"
MHCBINBB,HSBCLKLX,Rejected," ",Revoked," ","HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, THE"
MHCBINBB,HSBCMOMX,Rejected," ",Revoked," ",THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
MHCBINBB,HSBCNL2A,Enabled," ",Enabled,*,"HSBC FRANCE, AMSTERDAM BRANCH"
MHCBINBB,HSBCSGSG,Enabled," ",Enabled,*,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED
MHCBINBB,HSBCTW2P," "," ",Revoked," ",THE HONGKONG AND SHANGHAI BANKING CORPORATION LTD.
MHCBINBB,HSBCTWTP,Rejected," ",Revoked," ",HSBC BANK (TAIWAN) LIMITED
MHCBINBB,HSBCZAJJ,Rejected," ",Revoked," ",HSBC BANK PLC
MHCBINBB,HSHNSGSG,Enabled," ",Enabled," ",HAMBURG COMMERCIAL BANK AG
MHCBINBB,HTBKTWTP,Enabled," ",Enabled," ",HWATAI BANK
MHCBINBB,HVBKBDDH," "," ",Revoked," ","WOORI BANK, DHAKA"
MHCBINBB,HVBKBHBM," "," ",Revoked," ","WOORI BANK, MANAMA"
MHCBINBB,HVBKCNBJ," "," ",Revoked," ",WOORI BANK (CHINA) LIMITED
MHCBINBB,HVBKGB2L," "," ",Revoked," ","WOORI BANK, LONDON"
MHCBINBB,HVBKIDJA," "," ",Revoked," ",PT.BANK WOORI SAUDARA INDONESIA 1906 TBK
MHCBINBB,HVBKJPJT," "," ",Revoked," ","WOORI BANK, TOKYO"
MHCBINBB,HVBKKRSE,Enabled," ",Enabled," ","WOORI BANK, SEOUL"
MHCBINBB,HXBKCNBJ,Enabled," ",Enabled," ",HUA XIA BANK
MHCBINBB,HYVEDEMM,Enabled," ",Enabled," ",UNICREDIT BANK AG (HYPOVEREINSBANK)
MHCBINBB,HZCBCN2H,Enabled," ",Enabled," ","BANK OF HANGZHOU CO., LTD (FORMERLY HANGZHOU CITY COMMERCIAL BANK CO., LTD)"
MHCBINBB,IBBLBDDH,Enabled," ",Enabled," ",ISLAMI BANK BANGLADESH LTD
MHCBINBB,IBKLINBB,Enabled," ",Enabled," ",IDBI BANK LIMITED
MHCBINBB,IBKOCNBY,Revoked," ",Deleted," ",
MHCBINBB,IBKOKRSE,Enabled," ",Enabled," ",INDUSTRIAL BANK OF KOREA
MHCBINBB,IBKOUS33,Enabled," ",Enabled," ","INDUSTRIAL BANK OF KOREA, NEW YORK BRANCH"
MHCBINBB,IBOTTWTP,Enabled," ",Enabled," ","O-BANK CO., LTD."
MHCBINBB,IBSPIT2P,Rejected," "," "," ",
MHCBINBB,IBSPIT2U,Enabled," ",Enabled," ",
MHCBINBB,IBSPITNA,Enabled," ",Enabled," ",
MHCBINBB,IBXHCNBA,Enabled," "," "," ","XIAMEN INTERNATIONAL BANK CO., LTD."
MHCBINBB,ICBCHKHH,Rejected," ",Revoked," ","MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD., HONGKONG BRANCH"
MHCBINBB,ICBCTHBK,Enabled," ",Enabled," ",MEGA INTERNATIONAL COMMERCIAL BANK PUBLIC COMPANY LIMITED
MHCBINBB,ICBCTWTP,Enabled," ",Enabled," ","MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD."
MHCBINBB,ICBCVNVX,Enabled," ",Enabled," ","MEGA INTERNATIONAL COMMERCIAL BANK CO., LTD."
MHCBINBB,ICBKCNBJ,Enabled," ",Enabled," ",INDUSTRIAL AND COMMERCIAL BANK OF CHINA
MHCBINBB,ICBKHKHH,Rejected," ",Revoked," ","INDUSTRIAL AND COMMERCIAL BANK OF CHINA, HONG KONG BRANCH"
MHCBINBB,ICBKSGSG,Rejected," ",Revoked," ",INDUSTRIAL AND COMMERCIAL BANK OF CHINA
MHCBINBB,ICBVVNVX,Enabled," ",Enabled," ",VIETNAM JOINT STOCK COMMERCIAL BANK FOR INDUSTRY AND TRADE
MHCBINBB,ICICBHBM,Enabled," ",Enabled," ",ICICI BANK LTD
MHCBINBB,ICICCNSH,Enabled," ",Enabled," ",ICICI BANK LIMITED
MHCBINBB,ICICHKHH,Enabled," ",Enabled," ",ICICI BANK LTD
MHCBINBB,ICICINBB,Enabled," ",Enabled," ",ICICI BANK LIMITED
MHCBINBB,ICICRUMM,Revoked," "," "," ",
MHCBINBB,ICRAITMM,Enabled," ",Enabled," ",
MHCBINBB,ICRAITRR,Enabled," ",Enabled," ",ICCREA BANCA - ISTITUTO CENTRALE DEL CREDITO COOPERATIVO
MHCBINBB,IDIBSGSG,Enabled," ",Enabled," ",INDIAN BANK
MHCBINBB,IMCOIT2A,Enabled," ",Enabled," ",BANCA DI IMOLA S.P.A.
MHCBINBB,INGBNL2A,Enabled," ",Enabled," ",ING BANK N.V.
MHCBINBB,IRVTCNSH," "," ",Revoked," ","THE BANK OF NEW YORK MELLON, SHANGHAI BRANCH"
MHCBINBB,IRVTUS3N,Enabled," ",Enabled," ",THE BANK OF NEW YORK MELLON
