Own BIC,Correspondent,R. Status,R. Restr.,S. Status,S. Restr.,Correspondent Name
MHCBINBB,TPBKVNVX,Rejected," ",Revoked," ",TAIPEI FUBON COMMERCIAL BANK
MHCBINBB,TRHBTR2A,Enabled," "," "," ",TURKIYE HALK BANKASI A.S. (HEAD OFFICE)
MHCBINBB,UARBAEAA,Enabled," "," "," ",UNITED ARAB BANK
MHCBINBB,UBAFHKHX,Rejected," "," "," ",
MHCBINBB,UBHKHKHH,Rejected," ",Revoked," ",INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ASIA) LIMITED
MHCBINBB,UBINHKHH,Enabled," ",Enabled," ",UNION BANK OF INDIA
MHCBINBB,UBININBB,Enabled," ",Enabled," ",UNION BANK OF INDIA
MHCBINBB,UBRTHUHB,Enabled," ",Enabled," ",RAIFFEISEN BANK ZRT.
MHCBINBB,UBSBCHZZ,Enabled," "," "," ",UBS AG
MHCBINBB,UBSWAU2S,Rejected," ",Revoked," ",UBS AG AUSTRALIA BRANCH
MHCBINBB,UBSWBSNS,Rejected," ",Revoked," ",
MHCBINBB,UBSWCATT,Revoked," ",Rejected," ",UBS BANK (CANADA)
MHCBINBB,UBSWCHZ9,Revoked," ",Rejected," ",
MHCBINBB,UBSWCHZH,Enabled," ",Enabled," ",UBS SWITZERLAND AG
MHCBINBB,UBSWCNBJ,Rejected," ",Revoked," ",UBS (CHINA) LIMITED
MHCBINBB,UBSWDEFF,Rejected," ",Revoked," ",UBS EUROPE SE
MHCBINBB,UBSWESMM,Revoked," ",Rejected," ","UBS EUROPE SE, SUCURSAL EN ESPANA"
MHCBINBB,UBSWGB2L,Rejected," ",Revoked," ",UBS AG LONDON BRANCH
MHCBINBB,UBSWHKHH,Rejected," ",Revoked," ",UBS AG HONG KONG BRANCH
MHCBINBB,UBSWJESH,Rejected," ",Revoked," ",UBS AG JERSEY BRANCH
MHCBINBB,UBSWJPJ9,Rejected," ",Revoked," ","UBS SECURITIES JAPAN CO., LTD."
MHCBINBB,UBSWJPJT,Rejected," ",Revoked," ",UBS AG TOKYO BRANCH
MHCBINBB,UBSWLULL,Rejected," ",Revoked," ","UBS EUROPE SE, LUXEMBOURG BRANCH"
MHCBINBB,UBSWMCMX,Rejected," ",Revoked," ",UBS (MONACO) S.A.
MHCBINBB,UBSWSGSG,Rejected," ",Revoked," ",UBS AG SINGAPORE BRANCH
MHCBINBB,UBSWTWTP,Rejected," ",Revoked," ",UBS AG TAIPEI BRANCH
MHCBINBB,UBSWUS33,Rejected," ",Revoked," ",UBS AG STAMFORD BRANCH
MHCBINBB,UCBAHKHH,Enabled," "," "," ",UCO BANK
MHCBINBB,UCBASGSG,Enabled," ",Enabled," ",UCO BANK
MHCBINBB,UKIOLT2X,Revoked," ",Deleted," ",
MHCBINBB,UNCRIT2B,Revoked," ",Deleted," ",
MHCBINBB,UNCRIT2T,Revoked," ",Deleted," ",
MHCBINBB,UNCRIT2V,Revoked," ",Deleted," ",
MHCBINBB,UNCRITMM,Revoked," ",Deleted," ",UNICREDIT S.P.A.
MHCBINBB,UNILUS33,Rejected," ",Revoked," ",
MHCBINBB,UNIOVECA,Revoked," ",Deleted," ",BANESCO BANCO UNIVERSAL C.A.
MHCBINBB,UOVBSGSG,Enabled," ",Enabled," ",UNITED OVERSEAS BANK LIMITED
MHCBINBB,USBKUS44,Enabled," ",Enabled," ",U.S. BANK N.A.
MHCBINBB,UTBLBDDH,Enabled," ",Enabled," ",UTTARA BANK LIMITED
MHCBINBB,VABECH22,Revoked," ",Deleted," ",VALIANT BANK AG
MHCBINBB,VBAAVNVX,Enabled," ",Enabled," ",VIETNAM BANK FOR AGRICULTURE AND RURAL DEVELOPMENT
MHCBINBB,VIDPVNV5,Enabled," ",Revoked," ",PUBLIC BANK VIETNAM LIMITED
MHCBINBB,VNIBVNVX,Enabled," ",Revoked," ",VIETNAM INTERNATIONAL COMMERCIAL JOINT STOCK BANK
MHCBINBB,VRBPIT2V,Enabled," ",Enabled," ",
MHCBINBB,VTBRRUMM,Enabled," ",Enabled," ",VTB BANK (PJSC)
MHCBINBB,WAHBLYLX,Revoked," "," "," ",WAHDA BANK
MHCBINBB,WELADEDD,Rejected," ",Revoked," ","LANDESBANK HESSEN-THUERINGEN GIROZENTRALE, DUESSELDORF"
MHCBINBB,WFBIUS6S,Enabled," ",Enabled," ","WELLS FARGO BANK, N.A."
MHCBINBB,WPACNZ2W,Enabled," ",Enabled," ","WESTPAC NEW ZEALAND LIMITED, A WHOLLY OWNED SUBSIDIARY OF WESTPAC BANKING CORPORATION"
MHCBINBB,WUBAHKHH,Enabled," ",Enabled," ",CMB WING LUNG BANK LIMITED
MHCBINBB,YESBINBB,Enabled," ",Enabled," ",YES BANK LIMITED
MHCBINBB,YKCBCNBJ,Enabled," "," "," ",BANK OF YINGKOU
MHCBINBB,YTCBCNSD,Enabled," ",Enabled," ","YANTAI BANK CO., LTD."
MHCBINBB,YZBKCN2N,Enabled," ",Enabled," ",YINZHOU BANK
MHCBINBB,ZENBJPJT,Enabled," ",Enabled," ",SHINKIN CENTRAL BANK
MHCBINBB,ZJCBCN2N,Enabled," ",Enabled," ",CHINA ZHESHANG BANK
